PRE-HISTORIC KLIS CATEGORY,Grandparent V#,HISTORIC KLIS CATEGORY,Parent V#,KLIS item name,V#,A#,ALM item name,Parent A#,HISTORIC ALM CATEGORY,Material Composition,EPA DIVISION,Smoking related,CDS,PBs,Refine Classification,Takeaway related,Snacks related,Plastic Plan related
,,,,PL FW/FJD/SpD Non-carb. Beverage Bottles (1L+),44,260,PL FW/FJD/SpD Non-carb. Beverage Bottles (1000- 3000ml),,,Plastics,CDS beverage container ,,Beverage Container - CDS,,Plastic Refined,,,
,,,,,,261,PL FW/FJD/SpD Non-carb. Beverage Bottles (>3000mL),,,Plastics,CDS beverage container ,,Beverage Container - CDS,,Plastic Refined,,,
,,,,PL FW/SftD Carb. Beverage Bottles (<1L),46,58,PL FW/SftD Carb. Beverage Bottles (<150mL),,,Plastics,CDS beverage container ,,Beverage Container - CDS,,Plastic Refined,,,
,,,,,,59,PL FW/SftD Carb. Beverage Bottles (150-499mL),,,Plastics,CDS beverage container ,,Beverage Container - CDS,,Plastic Refined,,,
,,,,,,60,PL FW/SftD Carb. Beverage Bottles (500-999mL),,,Plastics,CDS beverage container ,,Beverage Container - CDS,,Plastic Refined,,,
,,,,PL FW/SftD Carb. Beverage Bottles (1L+),45,61,PL FW/SftD Carb. Beverage Bottles (1000- 3000ml),,,Plastics,CDS beverage container ,,Beverage Container - CDS,,Plastic Refined,,,
,,,,,,62,PL FW/SftD Carb. Beverage Bottles (>3000mL),,,Plastics,CDS beverage container ,,Beverage Container - CDS,,Plastic Refined,,,
,,,,PL Fruit Juice Bottles (<1L),47,63,PL Fruit Juice Bottles (<150mL),,,Plastics,CDS beverage container ,,Beverage Container - CDS,,Plastic Refined,,,
,,,,,,64,PL Fruit Juice Bottles (150-499mL),,,Plastics,CDS beverage container ,,Beverage Container - CDS,,Plastic Refined,,,
,,,,,,65,PL Fruit Juice Bottles (500-999mL),,,Plastics,CDS beverage container ,,Beverage Container - CDS,,Plastic Refined,,,
,,,,PL Fruit Juice Bottles (1L+),48,66,PL Fruit Juice Bottles (1000- 3000ml),,,Plastics,Non-CDS beverage container ,,Beverage Container - Non CDS,,Plastic Refined,,,
,,,,,,67,PL Fruit Juice Bottles (>3000mL),,,Plastics,Non-CDS beverage container ,,Beverage Container - Non CDS,,Plastic Refined,,,
,,,,PL Water Bottles (<1L),49,68,PL Water Bottles (<150mL),,,Plastics,CDS beverage container ,,Beverage Container - CDS,,Plastic Refined,,,
,,,,,,69,PL Water Bottles (150-499mL),,,Plastics,CDS beverage container ,,Beverage Container - CDS,,Plastic Refined,,,
,,,,,,70,PL Water Bottles (500-999mL),,,Plastics,CDS beverage container ,,Beverage Container - CDS,,Plastic Refined,,,
,,,,PL Water Bottles (1L+),50,71,PL Water Bottles (1000- 3000ml),,,Plastics,CDS beverage container ,,Beverage Container - CDS,,Plastic Refined,,,
,,,,,,72,PL Water Bottles (>3000mL),,,Plastics,CDS beverage container ,,Beverage Container - CDS,,Plastic Refined,,,
,,,,PL White Milk Bottles (all sizes),51,73,PL White Milk Bottles (<150mL),,,Plastics,Non-CDS beverage container ,,Beverage Container - Non CDS,,Plastic Refined,,,
,,,,,,74,PL White Milk Bottles (150-499mL),,,Plastics,Non-CDS beverage container ,,Beverage Container - Non CDS,,Plastic Refined,,,
,,,,,,75,PL White Milk Bottles (500-999mL),,,Plastics,Non-CDS beverage container ,,Beverage Container - Non CDS,,Plastic Refined,,,
,,,,,,76,PL White Milk Bottles (1000- 3000ml),,,Plastics,Non-CDS beverage container ,,Beverage Container - Non CDS,,Plastic Refined,,,
,,,,,,77,PL White Milk Bottles (>3000mL),,,Plastics,Non-CDS beverage container ,,Beverage Container - Non CDS,,Plastic Refined,,,
,,,,PL Six Pack Rings,73,37,PL Six Pack Rings,,,Plastics,Miscellaneous Plastic ,,Beverage related,,Plastic Refined,,,
,,,,PL Wine Bladders (all sizes),195,109,PL Wine Bladders (<150mL),,,Plastics,Non-CDS beverage container ,,Beverage Container - Non CDS,,Plastic Refined,,,
,,,,,,110,PL Wine Bladders (150-499mL),,,Plastics,Non-CDS beverage container ,,Beverage Container - Non CDS,,Plastic Refined,,,
,,,,,,111,PL Wine Bladders (500-999mL),,,Plastics,Non-CDS beverage container ,,Beverage Container - Non CDS,,Plastic Refined,,,
,,,,,,112,PL Wine Bladders (1000- 3000ml),,,Plastics,Non-CDS beverage container ,,Beverage Container - Non CDS,,Plastic Refined,,,
,,,,,,113,PL Wine Bladders (>3000mL),,,Plastics,Non-CDS beverage container ,,Beverage Container - Non CDS,,Plastic Refined,,,
