PRE-HISTORIC KLIS CATEGORY,Grandparent V#,HISTORIC KLIS CATEGORY,Parent V#,KLIS item name,V#,A#,ALM item name,Parent A#,HISTORIC ALM CATEGORY,Material Composition,EPA DIVISION,Smoking related,CDS,PBs,Refine Classification,Takeaway related,Snacks related,Plastic Plan related
,,,,PC Tissues & Napkins,313,175,PC Tissues & Napkins,,,Paper,Miscellaneous Paper,,Non,,Non Plastic Refined,,,
,,,,PC Other Items,231,17800,PC All Other Items,178,PC Other,Paper,Miscellaneous Paper,,Non,,Non Plastic Refined,,,
,,,,RB Balloons,232,22202,RB Balloons,222,OT Balloons,Rubber,Miscellaneous Rubber,,Non,,Non Plastic Refined,,,
,,,,RB Tyres,238,205,RB Tyres,,,Rubber,Miscellaneous Rubber,,Non,,Non Plastic Refined,,,
,,,,RB Tyre Pieces,239,204,RB Tyre Pieces,,,Rubber,Miscellaneous Rubber,,Non,,Non Plastic Refined,,,
,,,,H RB (all) Toys,233,,,,,Rubber,Miscellaneous Rubber,,Non,,Non Plastic Refined,,,
,,,,RB Bands & Hair Ties,315,202,RB Bands & Hair Ties,,,Rubber,Miscellaneous Rubber,,Non,,Non Plastic Refined,,,
,,,,RB Other Toys,316,203,RB Toys,,,Rubber,Miscellaneous rubber,,Non,,Non Plastic Refined,,,
,,,,RB Remnants (all sizes),234,207,RB Fragments (Small),,,Rubber,Fragments,,Non,,Fragments,,,
,,,,,,208,RB Fragments (Medium),,,Rubber,Fragments,,Non,,Fragments,,,
,,,,,,209,RB Fragments (Large),,,Rubber,Fragments,,Non,,Fragments,,,
,,,,RB Sheeting,235,20601,RB Sheeting,206,RB Other,Rubber,Miscellaneous Rubber,,Non,,Illegal Dumping (o/s targets),,,
,,,,RB Seals/Buffers,236,20602,RB Seals/Buffers,,,Rubber,Miscellaneous Rubber,,Non,,Non Plastic Refined,,,
,,,,RB Thongs & Soles,237,20603,RB Thongs & Soles,,,Rubber,Miscellaneous Rubber,,Non,,Non Plastic Refined,,,
,,,,RB Other Items,317,20600,RB ALL Other Items,,,Rubber,Miscellaneous Rubber,,Non,,Non Plastic Refined,,,
,,,,WD Ice Cream Sticks,241,233,WD Ice Cream Sticks,,,Wood,Snacks/Confect.,,Non,,Non Plastic Refined,,Snacks/Confect.,
,,,,WD Processed Timber (Incl. fragments),243,26501,WD Fragments Small,265,WD Processed Timber (Incl. fragments),Wood,Miscellaneous wood,,Non,,Fragments,,,
,,,,,,26502,WD Fragments Medium,,,Wood,Miscellaneous wood,,Non,,Fragments,,,
,,,,,,26503,WD Fragments Large,,,Wood,Miscellaneous wood,,Non,,Fragments,,,
,,,,WD Brooms/Brushes,240,24501,WD Brooms/Brushes,245,WD Other,Wood,Miscellaneous wood,,Non,,Illegal Dumping (o/s targets),,,
,,,,WD Pencils/Matches,242,24502,WD Pencils/Matches,,,Wood,Miscellaneous wood,,Non,,Non Plastic Refined,,,
,,,,WD Fishing Items,244,24503,WD Fishing Items,,,Wood,Fishing,,Non,,Non Plastic Refined,,,
,,,,WD Furniture,245,24504,WD Furniture,,,Wood,Miscellaneous wood,,Non,,Illegal Dumping (o/s targets),,,
,,,,WD Other Items,318,24500,WD Other Items,,,Wood,Miscellaneous wood,,Non,,Non Plastic Refined,,,
,,,,PL Fishing Line (total in m),86,44401,PL Fishing Line (total in m),444,Length Fields,Plastics,Fishing,,Non,,Length category (o/s targets),,,
,,,,PL Nets Square (total in m),87,44402,PL Nets Square (total in m),,,Plastics,Fishing,,Non,,Length category (o/s targets),,,
,,,,PL Rope (total in m),88,44403,PL Rope (total in m),,,Plastics,Fishing,,Non,,Length category (o/s targets),,,
,,,,PL Commercial Line (total in m),90,44404,PL Commercial Line (total in m),,,Plastics,Fishing,,Non,,Length category (o/s targets),,,
,,,,CL Rope Natural (total in m),186,44405,CL Rope Natural (total in m),,,Cloth,Fishing,,Non,,Length category (o/s targets),,,
